file_name,type,dimension,total_distance,optimal_distance,relative_error_percent,inference_time
E-n101-k14.vrp,E,101,1155.46,1071.0,7.89,362.7785
E-n101-k8.vrp,E,101,854.69,817.0,4.61,286.8213
E-n13-k4.vrp,E,13,290.0,247.0,17.41,2.3452
E-n22-k4.vrp,E,22,375.28,375.0,0.07,7.3419
E-n23-k3.vrp,E,23,568.56,569.0,0.08,6.5773
E-n30-k3.vrp,E,30,535.8,534.0,0.34,11.5661
E-n33-k4.vrp,E,33,837.67,835.0,0.32,17.7476
E-n51-k5.vrp,E,51,550.14,521.0,5.59,49.4671
E-n76-k10.vrp,E,76,999.98,830.0,20.48,159.244
E-n76-k14.vrp,E,76,1069.87,1021.0,4.79,185.3133
E-n76-k7.vrp,E,76,703.8,682.0,3.2,143.1454
E-n76-k8.vrp,E,76,764.45,735.0,4.01,144.7723
F-n135-k7.vrp,F,135,1364.37,1162.0,17.42,616.3876
F-n45-k4.vrp,F,45,723.54,724.0,0.06,37.1026
F-n72-k4.vrp,F,72,266.94,237.0,12.63,107.5179
M-n101-k10.vrp,M,101,873.16,820.0,6.48,309.0019
M-n121-k7.vrp,M,121,1415.84,1034.0,36.93,398.1279
M-n151-k12.vrp,M,151,1136.18,1053.0,7.9,822.8003
M-n200-k17.vrp,M,200,1478.39,1373.0,7.68,1885.8567
P-n101-k4.vrp,P,101,720.09,681.0,5.74,215.5045
P-n16-k8.vrp,P,16,451.34,450.0,0.3,4.0682
P-n19-k2.vrp,P,19,212.66,212.0,0.31,3.4017
P-n20-k2.vrp,P,20,217.42,216.0,0.66,3.5032
P-n21-k2.vrp,P,21,212.71,211.0,0.81,3.9077
P-n22-k2.vrp,P,22,217.85,216.0,0.86,4.1591
P-n22-k8.vrp,P,22,602.11,603.0,0.15,9.7594
P-n23-k8.vrp,P,23,553.62,529.0,4.65,10.0946
P-n40-k5.vrp,P,40,461.73,458.0,0.81,28.9314
P-n45-k5.vrp,P,45,512.8,510.0,0.55,35.4281
P-n50-k10.vrp,P,50,751.29,696.0,7.94,62.5359
P-n50-k7.vrp,P,50,563.84,554.0,1.78,54.0478
P-n50-k8.vrp,P,50,642.89,631.0,1.88,55.6274
P-n51-k10.vrp,P,51,979.5,741.0,32.19,65.4886
P-n55-k10.vrp,P,55,706.2,694.0,1.76,78.7401
P-n55-k15.vrp,P,55,1022.24,989.0,3.36,90.2634
P-n55-k7.vrp,P,55,577.45,568.0,1.66,66.9196
P-n55-k8.vrp,P,55,593.0,588.0,0.85,71.9137
P-n60-k10.vrp,P,60,785.12,744.0,5.53,96.0764
P-n60-k15.vrp,P,60,1100.68,968.0,13.71,114.3264
P-n65-k10.vrp,P,65,827.25,792.0,4.45,115.0684
P-n70-k10.vrp,P,70,983.33,827.0,18.9,133.891
P-n76-k4.vrp,P,76,635.68,593.0,7.2,101.4891
P-n76-k5.vrp,P,76,684.81,627.0,9.22,116.4788
